date,New cases,1st day prediction,2nd day,3rd day prediction,4th day prediction,5th day prediction,6th day prediction,7th day prediction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/7/21,32391,,,,,,,,,,,,,,,,,,,,,,,,,36553,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/7/22,35948,,,,,,,,,,,,,,,,,,,,,,,,,32691,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/7/23,28003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/7/24,16750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/7/25,35068,,,,,,,,,,,,,,,,,,,,,,,,,,34067,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/7/26,31834,,,,,,,,,,,,,,,,,,,,,,,,,,30284,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/7/27,34711,,,,,,,,,,,,,,,,,,,,,,,,,,26457,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/7/28,30775,,,,,,,,,,,,,,,,,,,,,,,,,,27463,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/7/29,33577,,,,,,,,,,,,,,,,,,,,,,,,,,23181,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/7/30,26784,,,,,,,,,,,,,,,,,,,,,,,,,,11709,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/7/31,15589,,,,,,,,,,,,,,,,,,,,,,,,,,25686,46906,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/8/1,35247,,,,,,,,,,,,,,,,,,,,,,,,,,,60141,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/8/2,31658,,,,,,,,,,,,,,,,,,,,,,,,,,,59797,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/8/3,33156,,,,,,,,,,,,,,,,,,,,,,,,,,,57558,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/8/4,29323,,,,,,,,,,,,,,,,,,,,,,,,,,,69453,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/8/5,31245,,,,,,,,,,,,,,,,,,,,,,,,,,,60509,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/8/6,23936,,,,,,,,,,,,,,,,,,,,,,,,,,,39420,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/8/7,13630,,,,,,,,,,,,,,,,,,,,,,,,,,,,48639,,,,,,,,,,,,,,,,,,,,,,,,,
2022/8/8,30092,,,,,,,,,,,,,,,,,,,,,,,,,,,,67588,,,,,,,,,,,,,,,,,,,,,,,,,
2022/8/9,26559,,,,,,,,,,,,,,,,,,,,,,,,,,,,72507,,,,,,,,,,,,,,,,,,,,,,,,,
2022/8/10,26430,,,,,,,,,,,,,,,,,,,,,,,,,,,,77065,,,,,,,,,,,,,,,,,,,,,,,,,
2022/8/11,15030,,,,,,,,,,,,,,,,,,,,,,,,,,,,104111,,,,,,,,,,,,,,,,,,,,,,,,,
2022/8/12,23906,,,,,,,,,,,,,,,,,,,,,,,,,,,,100972,,,,,,,,,,,,,,,,,,,,,,,,,
2022/8/13,18331,,,,,,,,,,,,,,,,,,,,,,,,,,,,67822,7945,,,,,,,,,,,,,,,,,,,,,,,,
2022/8/14,12270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18534,,,,,,,,,,,,,,,,,,,,,,,,
2022/8/15,24234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19807,,,,,,,,,,,,,,,,,,,,,,,,
2022/8/16,25020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17270,,,,,,,,,,,,,,,,,,,,,,,,
2022/8/17,22145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13987,,,,,,,,,,,,,,,,,,,,,,,,
2022/8/18,20960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15288,,,,,,,,,,,,,,,,,,,,,,,,
2022/8/19,22179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11413,,,,,,,,,,,,,,,,,,,,,,,,
2022/8/20,16349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/8/21,8362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/8/22,22179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/8/23,19883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/8/24,16877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/8/25,14275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/8/26,14716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11299,,,,,,,,,,,,,,,,,,,,,,,
2022/8/27,11487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5690,,,,,,,,,,,,,,,,,,,,,,,
2022/8/28,5931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13044,,,,,,,,,,,,,,,,,,,,,,,
2022/8/29,16020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13602,,,,,,,,,,,,,,,,,,,,,,,
2022/8/30,14379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11572,,,,,,,,,,,,,,,,,,,,,,,
2022/8/31,12413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9477,,,,,,,,,,,,,,,,,,,,,,,
2022/9/1,10741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9717,,,,,,,,,,,,,,,,,,,,,,,
2022/9/2,10892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8036,,,,,,,,,,,,,,,,,,,,,,
2022/9/3,8505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4079,,,,,,,,,,,,,,,,,,,,,,
2022/9/4,4750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9538,,,,,,,,,,,,,,,,,,,,,,
2022/9/5,13226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9877,,,,,,,,,,,,,,,,,,,,,,
2022/9/6,11612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8296,,,,,,,,,,,,,,,,,,,,,,
2022/9/7,9331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6861,,,,,,,,,,,,,,,,,,,,,,
2022/9/8,8433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7146,,,,,,,,,,,,,,,,,,,,,,
2022/9/9,8771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6722,,,,,,,,,,,,,,,,,,,,,
2022/9/10,7159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3474,,,,,,,,,,,,,,,,,,,,,
2022/9/11,4011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8425,,,,,,,,,,,,,,,,,,,,,
2022/9/12,11306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8681,,,,,,,,,,,,,,,,,,,,,
2022/9/13,9580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7561,,,,,,,,,,,,,,,,,,,,,
2022/9/14,8562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6267,,,,,,,,,,,,,,,,,,,,,
2022/9/15,7476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6833,,,,,,,,,,,,,,,,,,,,,
2022/9/16,7462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6138,,,,,,,,,,,,,,,,,,,,
2022/9/17,6002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3268,,,,,,,,,,,,,,,,,,,,
2022/9/18,3443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8141,,,,,,,,,,,,,,,,,,,,
2022/9/19,3148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8413,,,,,,,,,,,,,,,,,,,,
2022/9/20,9570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7479,,,,,,,,,,,,,,,,,,,,
2022/9/21,7706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6426,,,,,,,,,,,,,,,,,,,,
2022/9/22,6411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6863,,,,,,,,,,,,,,,,,,,,
2022/9/23,2607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/24,5811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/25,3525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/26,5303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/27,5337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/28,5056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/29,4596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30,3881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/10/1,2978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/10/2,1720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/10/3,4344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4763,,,,,,,,,,,,,,,,,,,
2022/10/4,4103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4111,,,,,,,,,,,,,,,,,,,
2022/10/5,3161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3434,,,,,,,,,,,,,,,,,,,
2022/10/6,3590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3417,,,,,,,,,,,,,,,,,,,
2022/10/7,2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2740,,,,,,,,,,,,,,,,,,,
2022/10/8,2286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1416,198,,,,,,,,,,,,,,,,,,
2022/10/9,1475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3170,411,,,,,,,,,,,,,,,,,,
2022/10/10,1541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467,,,,,,,,,,,,,,,,,,
2022/10/11,4819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457,,,,,,,,,,,,,,,,,,
2022/10/12,4352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424,,,,,,,,,,,,,,,,,,
2022/10/13,3514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474,,,,,,,,,,,,,,,,,,
2022/10/14,3257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436,610,,,,,,,,,,,,,,,,,
2022/10/15,2761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407,,,,,,,,,,,,,,,,,
2022/10/16,1624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873,,,,,,,,,,,,,,,,,
2022/10/17,4250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1149,,,,,,,,,,,,,,,,,
2022/10/18,4226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1188,,,,,,,,,,,,,,,,,
2022/10/19,3539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1115,,,,,,,,,,,,,,,,,
2022/10/20,2951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1348,,,,,,,,,,,,,,,,,
2022/10/21,3235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425,,,,,,,,,,,,,,,,
2022/10/22,2830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246,,,,,,,,,,,,,,,,
2022/10/23,1778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,472,,,,,,,,,,,,,,,,
2022/10/24,4716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502,,,,,,,,,,,,,,,,
2022/10/25,4350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423,,,,,,,,,,,,,,,,
2022/10/26,3953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,,,,,,,,,,,,,,,,
2022/10/27,3604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,,,,,,,,,,,,,,,,
2022/10/28,4119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/10/29,3721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/10/30,2052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/10/31,6538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/11/1,6406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/11/2,6686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/11/3,3118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/11/4,7963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5736,,,,,,,,,,,,,,,
2022/11/5,6304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3675,,,,,,,,,,,,,,,
2022/11/6,3515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9226,,,,,,,,,,,,,,,
2022/11/7,8705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11629,,,,,,,,,,,,,,,
2022/11/8,9016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11349,,,,,,,,,,,,,,,
2022/11/9,7965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10356,,,,,,,,,,,,,,,
2022/11/10,7926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11814,,,,,,,,,,,,,,,
2022/11/11,8021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/11/12,6947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/11/13,4053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/11/14,11199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/11/15,10103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/11/16,9754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/11/17,8303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/11/18,9468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7672,,,,,,,,,,,,,,
2022/11/19,7796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4489,,,,,,,,,,,,,,
2022/11/20,4633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10598,,,,,,,,,,,,,,
2022/11/21,12752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11602,,,,,,,,,,,,,,
2022/11/22,12837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10305,,,,,,,,,,,,,,
2022/11/23,5658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8986,,,,,,,,,,,,,,
2022/11/24,12931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9018,,,,,,,,,,,,,,
2022/11/25,13560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10058,,,,,,,,,,,,,
2022/11/26,10349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6179,,,,,,,,,,,,,
2022/11/27,5780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14765,,,,,,,,,,,,,
2022/11/28,14643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17551,,,,,,,,,,,,,
2022/11/29,14390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15647,,,,,,,,,,,,,
2022/11/30,12336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15006,,,,,,,,,,,,,
2022/12/1,11248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15971,,,,,,,,,,,,,
2022/12/2,13299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10716,,,,,,,,,,,,
2022/12/3,10452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6292,,,,,,,,,,,,
2022/12/4,5395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14897,,,,,,,,,,,,
2022/12/5,15434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16666,,,,,,,,,,,,
2022/12/6,14936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14448,,,,,,,,,,,,
2022/12/7,14100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13151,,,,,,,,,,,,
2022/12/8,13592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13539,,,,,,,,,,,,
2022/12/9,14538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11672,,,,,,,,,,,
2022/12/10,12156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6939,,,,,,,,,,,
2022/12/11,7045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15920,,,,,,,,,,,
2022/12/12,19772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18810,,,,,,,,,,,
2022/12/13,18779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15860,,,,,,,,,,,
2022/12/14,17668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15068,,,,,,,,,,,
2022/12/15,16268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15367,,,,,,,,,,,
2022/12/16,16995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14830,,,,,,,,,,
2022/12/17,13660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8654,,,,,,,,,,
2022/12/18,7952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22504,,,,,,,,,,
2022/12/19,20514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23314,,,,,,,,,,
2022/12/20,21171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19986,,,,,,,,,,
2022/12/21,18819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19166,,,,,,,,,,
2022/12/22,17336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21461,,,,,,,,,,
2022/12/23,18719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15366,,,,,,,,,
2022/12/24,15381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8828,,,,,,,,,
2022/12/25,8417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22246,,,,,,,,,
2022/12/26,22033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22947,,,,,,,,,
2022/12/27,20222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19264,,,,,,,,,
2022/12/28,18350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17364,,,,,,,,,
2022/12/29,14503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19575,,,,,,,,,
2022/12/30,11187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/12/31,9191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/1/1,7530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/1/2,9618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/1/3,10546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/1/4,20717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/1/5,20695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/1/6,19619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13594,,,,,,,,
2023/1/7,15081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8088,,,,,,,,
2023/1/8,8194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21315,,,,,,,,
2023/1/9,7446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20573,,,,,,,,
2023/1/10,16741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19187,,,,,,,,
2023/1/11,13406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17845,,,,,,,,
2023/1/12,11236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20164,,,,,,,,
2023/1/13,10711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9151,,,,,,,
2023/1/14,8275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4970,,,,,,,
2023/1/15,4449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11341,,,,,,,
2023/1/16,11131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10795,,,,,,,
2023/1/17,9193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9506,,,,,,,
2023/1/18,7722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8525,,,,,,,
2023/1/19,6616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8644,,,,,,,
2023/1/20,6616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4986,,,,,,
2023/1/21,5122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2643,,,,,,
2023/1/22,2693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5593,,,,,,
2023/1/23,7299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5227,,,,,,
2023/1/24,5932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4360,,,,,,
2023/1/25,5068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3816,,,,,,
2023/1/26,4368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3664,,,,,,
2023/1/27,4515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/1/28,3437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/1/29,1842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/1/30,4872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/1/31,3930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/2/1,3534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/2/2,2958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/2/3,2998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2286,,,,,
2023/2/4,2287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1256,,,,,
2023/2/5,1134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2809,,,,,
2023/2/6,3142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2584,,,,,
2023/2/7,2626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2184,,,,,
2023/2/8,2177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2061,,,,,
2023/2/9,1931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1944,,,,,
2023/2/10,1758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/2/11,813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/2/12,823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/2/13,2236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/2/14,1858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/2/15,1468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/2/16,1286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/2/17,1152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,906,,,,
2023/2/18,983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519,,,,
2023/2/19,521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1203,,,,
2023/2/20,1449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1102,,,,
