date,Actual,20210205,20210209,20210216,20210225,20210303,20210309,20210316,20210323,20210330,20210406,20210413,20210420,20210427,20210504,20210511,20210518,20210525,20210601,20210608,20210615,20210622,20210629,20210706,20210713,20210720,20210727,20210803,20210810,20210817,20210824,20210831,20210914,20210928,20211012,20211102,20220118,20220125,20220208,20220215,20220222,20220301,20220308,20220315,20220322,20220405,20220413,20220419,20220426,20220511,20220522,20220621,20220707,20220713,20220720,20220725,20220802,20220809,20220816,20220829,20220917,20221003,20221110,20221207,20221220,20221226,20230109,20230123,20230210,20230227,20230318
2022/4/27,5116,,,,,,,,,,,,,,70,18,55,1,3,0,0,0,0,3,20,61,30,1790,2791,2817,5589,1570,2683,630,263,2472,693,712,2651,1833,5719,2710,7671,8268,6377,12140,6865,6686,5119,,,,,,,,,,,,,,,,,,,,,,
2022/5/4,3303,,,,,,,,,,,,,,,13,40,1,2,0,0,0,0,2,17,52,27,1633,2444,2325,5038,1762,3053,638,220,2066,634,764,1867,1298,4653,1991,6333,6863,5059,12669,5674,9052,5924,2999,,,,,,,,,,,,,,,,,,,,,
2022/5/11,3734,,,,,,,,,,,,,,,,29,,1,,,,0,,,,,1477,,,,,,,,,596,603,1957,899,3648,1425,5092,5473,3867,12624,4246,10951,8721,3463,4764,,,,,,,,,,,,,,,,,,,,
2022/5/18,3673,,,,,,,,,,,,,,,,,,1,,,,0,,,,,1325,,,,,,,,,562,482,1629,618,2817,1011,4190,4286,2845,11981,2894,11507,11504,3753,4355,,,,,,,,,,,,,,,,,,,,
2022/5/25,3323,,,,,,,,,,,,,,,,,,0,,,,,,,,,1180,,,,,,,,,532,387,1379,418,2127,705,3448,3264,2097,11025,1808,10452,13123,3568,3463,,,,,,,,,,,,,,,,,,,,
2022/6/1,2331,,,,,,,,,,,,,,,,,,,,,,,,,,,1043,,,,,,,,,505,312,1174,279,1572,483,2838,2419,1572,9771,1039,8242,12796,3191,3827,,,,,,,,,,,,,,,,,,,,
2022/6/8,1789,,,,,,,,,,,,,,,,,,,,,,,,,,,918,,,,,,,,,482,252,1004,186,1137,326,2341,1797,1182,8343,,5707,10670,2711,4550,,,,,,,,,,,,,,,,,,,,
2022/6/15,1566,,,,,,,,,,,,,,,,,,,,,,,,,,,803,,,,,,,,,463,205,863,126,838,224,1936,1362,892,7024,,,7694,2194,5072,2015,,,,,,,,,,,,,,,,,,,
2022/6/22,1754,,,,,,,,,,,,,,,,,,,,,,,,,,,700,,,,,,,,,447,168,745,86,617,154,1607,1036,676,5991,,,,1695,5309,1655,,,,,,,,,,,,,,,,,,,
2022/6/29,2431,,,,,,,,,,,,,,,,,,,,,,,,,,,608,,,,,,,,,434,138,648,59,458,107,1339,792,516,5111,,,,1253,5210,2148,,,,,,,,,,,,,,,,,,,
2022/7/6,4441,,,,,,,,,,,,,,,,,,,,,,,,,,,528,,,,,,,,,425,115,568,41,342,74,1123,609,396,4370,,,,,4794,3106,4876,6516,,,,,,,,,,,,,,,,,
2022/7/13,10161,,,,,,,,,,,,,,,,,,,,,,,,,,,458,,,,,,,,,420,96,501,28,258,52,948,472,307,3750,,,,,4146,4323,9317,17613,11608,,,,,,,,,,,,,,,,
2022/7/20,16649,,,,,,,,,,,,,,,,,,,,,,,,,,,397,,,,,,,,,419,81,447,20,196,37,806,368,239,3235,,,,,,5771,16061,27637,25273,,,,,,,,,,,,,,,,
2022/7/27,30100,,,,,,,,,,,,,,,,,,,,,,,,,,,344,,,,,,,,,423,69,402,14,150,26,690,289,189,2808,,,,,,7319,22669,26921,36848,30134,31337,,,,,,,,,,,,,,
2022/8/3,33424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431,59,366,10,115,19,597,230,150,2457,,,,,,8726,27794,21193,33794,35772,33136,33210,,,,,,,,,,,,,
2022/8/10,30233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445,51,337,7,90,14,522,184,121,2168,,,,,,9689,28021,14821,21576,32550,29651,30134,30543,,,,,,,,,,,,
2022/8/17,24889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466,45,314,5,71,10,461,149,98,1933,,,,,,9955,23960,8091,11768,22685,24634,27282,24843,24910,,,,,,,,,,,
2022/8/24,23926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494,40,297,4,56,7,411,122,81,1741,,,,,,9447,16248,4010,4534,12315,17874,24765,22088,23741,,,,,,,,,,,
2022/8/31,16291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,531,37,284,3,45,6,372,101,68,1587,,,,,,8307,9239,1862,1479,4866,12629,22416,19332,20420,,,,,,,,,,,
2022/9/7,11344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580,33,276,2,37,4,340,85,58,1464,,,,,,6819,4767,716,354,2047,9109,20179,17328,18371,10786,,,,,,,,,,
2022/9/14,8960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,643,31,271,2,30,3,315,72,49,1368,,,,,,5277,2382,358,131,738,6555,18333,15449,16615,9007,,,,,,,,,,
2022/9/21,6925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,724,29,271,1,25,2,296,62,43,1295,,,,,,3889,,143,32,235,4692,16544,13633,15055,7819,,,,,,,,,,
2022/9/28,6254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,828,28,276,1,21,2,282,54,38,1225,,,,,,2754,,72,,,3451,14922,12317,13592,6837,5924,,,,,,,,,
2022/10/5,3771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,962,27,284,1,17,1,269,47,33,1165,,,,,,,,,,,2622,13635,11002,12325,6186,5158,,,,,,,,,
2022/10/12,2730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1135,27,297,0,14,1,258,42,29,1115,,,,,,,,,,,1863,12293,9687,11254,5527,4620,,,,,,,,,
2022/10/19,3399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1360,27,316,0,12,1,249,38,26,1072,,,,,,,,,,,,11230,8559,10085,5035,4179,,,,,,,,,
2022/10/26,3307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1655,27,341,0,10,1,242,35,23,1036,,,,,,,,,,,,10112,7620,9209,4648,3827,,,,,,,,,
2022/11/2,4308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,28,374,0,9,1,236,32,21,1007,,,,,,,,,,,,,,8333,4288,3417,5175,,,,,,,,
2022/11/9,6453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2459,29,415,0,7,0,232,29,19,983,,,,,,,,,,,,,,,4001,3193,8133,,,,,,,,
2022/11/16,8021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3014,30,359,0,6,0,229,27,18,963,,,,,,,,,,,,,,,3747,2939,15378,,,,,,,,
2022/11/23,9358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3700,31,346,0,6,0,227,24,16,947,,,,,,,,,,,,,,,,2715,28835,,,,,,,,
2022/11/30,11048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4543,32,336,0,5,0,226,23,15,934,,,,,,,,,,,,,,,,2555,49390,11759,,,,,,,
2022/12/7,11884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5569,34,327,0,4,0,226,21,14,924,,,,,,,,,,,,,,,,2362,66839,12762,,,,,,,
2022/12/14,14291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6800,36,320,0,4,0,226,20,13,915,,,,,,,,,,,,,,,,2202,63733,15191,14823,,,,,,
2022/12/21,16325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8252,38,314,0,3,0,227,18,12,907,,,,,,,,,,,,,,,,2074,54269,19801,18410,,,,,,
2022/12/28,17288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9921,40,309,0,3,0,228,17,11,899,,,,,,,,,,,,,,,,,44953,26424,24461,18667,,,,,
2023/1/4,11570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2846,,305,0,,0,230,,10,891,,,,,,,,,,,,,,,,,38595,34055,32540,23579,11573,,,,
2023/1/11,15520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1710,,301,0,,0,231,,10,881,,,,,,,,,,,,,,,,,32088,40848,39709,30930,15212,,,,
2023/1/18,9772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297,0,,0,232,,9,870,,,,,,,,,,,,,,,,,27356,40672,41631,39241,18784,,,,
2023/1/25,5994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293,0,,0,232,,8,856,,,,,,,,,,,,,,,,,,34386,36331,44017,24474,7187,,,
2023/2/1,3999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289,0,,0,232,,8,838,,,,,,,,,,,,,,,,,,28943,30711,39469,32036,6178,,,
2023/2/8,2653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,231,,7,818,,,,,,,,,,,,,,,,,,24421,26052,33342,39316,5369,,,
2023/2/15,1649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,229,,7,794,,,,,,,,,,,,,,,,,,20986,22198,28167,41610,5159,2363,,
2023/2/22,1146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,226,,6,766,,,,,,,,,,,,,,,,,,17552,18719,23795,35317,5651,2210,,
2023/3/1,867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222,,6,735,,,,,,,,,,,,,,,,,,,,20102,29835,7060,2067,933,
2023/3/8,777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,699,,,,,,,,,,,,,,,,,,,,16981,25204,8662,1933,879,
2023/3/15,729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,661,,,,,,,,,,,,,,,,,,,,14346,21292,9844,1815,951,
2023/3/22,572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620,,,,,,,,,,,,,,,,,,,,12119,17987,9997,1817,1237,676
2023/3/29,813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578,,,,,,,,,,,,,,,,,,,,10237,15195,8946,2038,1733,744
2023/4/5,939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8649,12836,7567,2558,2549,964
2023/4/12,1106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7306,10844,6420,3573,3718,1312
2023/4/19,1167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6172,9161,5448,5226,5297,1866
2023/4/26,1390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5214,7739,4623,7310,7282,2715
2023/5/3,1686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4405,6537,3925,9622,9509,3893
2023/5/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3721,5523,3331,11677,11563,5465
2023/5/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4666,2828,12845,12852,7425
2023/5/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3942,2402,12760,12899,9613
2023/5/31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2039,12226,12092,11632
2023/6/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1732,11472,11309,12909
2023/6/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10729,10576,12969
2023/6/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10034,9891,12144
2023/6/28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9384,9250,11358
2023/7/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8776,8651,10622
2023/7/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8207,8090,9934
2023/7/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7566,9290
2023/7/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7076,8688
2023/8/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8125
2023/8/9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7598
2023/8/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7106
